Value,Unit
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0.08,Mbits/sec
0.77,Mbits/sec
0.87,Mbits/sec
1.04,Mbits/sec
1.05,Mbits/sec
0.99,Mbits/sec
1.04,Mbits/sec
0.82,Mbits/sec
0.72,Mbits/sec
0.28,Mbits/sec
0.01,Mbits/sec
0.02,Mbits/sec
0.04,Mbits/sec
0.05,Mbits/sec
0.04,Mbits/sec
0.14,Mbits/sec
3.15,Mbits/sec
2.4,Mbits/sec
2.96,Mbits/sec
3.19,Mbits/sec
3.17,Mbits/sec
3.52,Mbits/sec
2.5,Mbits/sec
2.46,Mbits/sec
2.29,Mbits/sec
2.81,Mbits/sec
2.62,Mbits/sec
2.65,Mbits/sec
2.27,Mbits/sec
2.69,Mbits/sec
2.54,Mbits/sec
2.93,Mbits/sec
3.35,Mbits/sec
3.84,Mbits/sec
3.56,Mbits/sec
3.14,Mbits/sec
3.18,Mbits/sec
2.42,Mbits/sec
2.61,Mbits/sec
2.36,Mbits/sec
2.65,Mbits/sec
2.98,Mbits/sec
3.14,Mbits/sec
3.78,Mbits/sec
4.23,Mbits/sec
4.04,Mbits/sec
3.4,Mbits/sec
3.28,Mbits/sec
2.16,Mbits/sec
1.12,Mbits/sec
1.62,Mbits/sec
1.48,Mbits/sec
1.69,Mbits/sec
1.94,Mbits/sec
2.37,Mbits/sec
2.71,Mbits/sec
3.23,Mbits/sec
3.46,Mbits/sec
3.33,Mbits/sec
3.35,Mbits/sec
3.67,Mbits/sec
4.02,Mbits/sec
2.1,Mbits/sec
1.66,Mbits/sec
2.25,Mbits/sec
2.14,Mbits/sec
2.46,Mbits/sec
2.6,Mbits/sec
2.6,Mbits/sec
2.87,Mbits/sec
2.77,Mbits/sec
2.73,Mbits/sec
3.23,Mbits/sec
2.62,Mbits/sec
3.17,Mbits/sec
3.21,Mbits/sec
2.89,Mbits/sec
2.76,Mbits/sec
2.4,Mbits/sec
1.75,Mbits/sec
2.05,Mbits/sec
2.54,Mbits/sec
2.73,Mbits/sec
2.89,Mbits/sec
2.5,Mbits/sec
2.7,Mbits/sec
2.99,Mbits/sec
3.17,Mbits/sec
3.15,Mbits/sec
3.67,Mbits/sec
3.06,Mbits/sec
3.3,Mbits/sec
3.51,Mbits/sec
3.87,Mbits/sec
3.69,Mbits/sec
3.42,Mbits/sec
2.78,Mbits/sec
3.38,Mbits/sec
3.76,Mbits/sec
4.11,Mbits/sec
3.15,Mbits/sec
3.79,Mbits/sec
3.98,Mbits/sec
3.75,Mbits/sec
4.54,Mbits/sec
3.17,Mbits/sec
2.37,Mbits/sec
2.79,Mbits/sec
2.81,Mbits/sec
2.87,Mbits/sec
2.52,Mbits/sec
2.21,Mbits/sec
2.57,Mbits/sec
2.43,Mbits/sec
2.15,Mbits/sec
1.62,Mbits/sec
2.04,Mbits/sec
2.48,Mbits/sec
2.44,Mbits/sec
2.6,Mbits/sec
3.04,Mbits/sec
3.27,Mbits/sec
2.35,Mbits/sec
2.1,Mbits/sec
2.42,Mbits/sec
2.58,Mbits/sec
2.4,Mbits/sec
2.11,Mbits/sec
2.47,Mbits/sec
2.27,Mbits/sec
2.35,Mbits/sec
2.77,Mbits/sec
3.25,Mbits/sec
3.59,Mbits/sec
3.68,Mbits/sec
3.62,Mbits/sec
4.17,Mbits/sec
3.29,Mbits/sec
3.04,Mbits/sec
2.46,Mbits/sec
2.23,Mbits/sec
2.46,Mbits/sec
2.77,Mbits/sec
2.65,Mbits/sec
2.74,Mbits/sec
3.07,Mbits/sec
3.46,Mbits/sec
3.67,Mbits/sec
3.75,Mbits/sec
3.1,Mbits/sec
3.47,Mbits/sec
4.11,Mbits/sec
4.34,Mbits/sec
4.74,Mbits/sec
5.46,Mbits/sec
7.05,Mbits/sec
7.84,Mbits/sec
6.96,Mbits/sec
3.94,Mbits/sec
3.06,Mbits/sec
3.02,Mbits/sec
2.48,Mbits/sec
2.04,Mbits/sec
2.42,Mbits/sec
2.69,Mbits/sec
2.58,Mbits/sec
2.96,Mbits/sec
2.69,Mbits/sec
3.06,Mbits/sec
3.05,Mbits/sec
2.93,Mbits/sec
3.37,Mbits/sec
3.56,Mbits/sec
3.33,Mbits/sec
3.01,Mbits/sec
3.14,Mbits/sec
3.31,Mbits/sec
4.21,Mbits/sec
4.09,Mbits/sec
4.64,Mbits/sec
5.99,Mbits/sec
4.3,Mbits/sec
4.12,Mbits/sec
3.76,Mbits/sec
4.34,Mbits/sec
3.77,Mbits/sec
4.68,Mbits/sec
3.94,Mbits/sec
2.74,Mbits/sec
3,Mbits/sec
3.17,Mbits/sec
2.04,Mbits/sec
0.58,Mbits/sec
1.92,Mbits/sec
1.7,Mbits/sec
0.56,Mbits/sec
1.32,Mbits/sec
1.48,Mbits/sec
1.56,Mbits/sec
1.69,Mbits/sec
1.81,Mbits/sec
1.04,Mbits/sec
0.35,Mbits/sec
0.44,Mbits/sec
1.24,Mbits/sec
2.2,Mbits/sec
2.65,Mbits/sec
3.96,Mbits/sec
5,Mbits/sec
1.98,Mbits/sec
4.6,Mbits/sec
2.48,Mbits/sec
0,Mbits/sec
0,Mbits/sec
3.98,Mbits/sec
6.46,Mbits/sec
4.66,Mbits/sec
1.32,Mbits/sec
2.29,Mbits/sec
1.46,Mbits/sec
0.84,Mbits/sec
2.5,Mbits/sec
2.46,Mbits/sec
2.2,Mbits/sec
1.81,Mbits/sec
2.42,Mbits/sec
2.68,Mbits/sec
2.72,Mbits/sec
2.11,Mbits/sec
3.28,Mbits/sec
1.85,Mbits/sec
3.79,Mbits/sec
3.04,Mbits/sec
2.93,Mbits/sec
1.05,Mbits/sec
0.75,Mbits/sec
1.03,Mbits/sec
0.68,Mbits/sec
1.8,Mbits/sec
3.58,Mbits/sec
3.62,Mbits/sec
3.66,Mbits/sec
2.46,Mbits/sec
1.27,Mbits/sec
3.19,Mbits/sec
3.15,Mbits/sec
3.08,Mbits/sec
3.08,Mbits/sec
2.46,Mbits/sec
1.44,Mbits/sec
0.55,Mbits/sec
4.48,Mbits/sec
3.11,Mbits/sec
2.56,Mbits/sec
2.68,Mbits/sec
3.26,Mbits/sec
3.15,Mbits/sec
3.58,Mbits/sec
3.66,Mbits/sec
4.06,Mbits/sec
3.61,Mbits/sec
4.43,Mbits/sec
4.16,Mbits/sec
4.32,Mbits/sec
4.98,Mbits/sec
3.85,Mbits/sec
4.5,Mbits/sec
3.46,Mbits/sec
4.08,Mbits/sec
2.4,Mbits/sec
2.36,Mbits/sec
2.69,Mbits/sec
2.46,Mbits/sec
2.46,Mbits/sec
2.04,Mbits/sec
2.06,Mbits/sec
1.98,Mbits/sec
2.19,Mbits/sec
2.04,Mbits/sec
2.27,Mbits/sec
1.46,Mbits/sec
1.6,Mbits/sec
1.17,Mbits/sec
1.46,Mbits/sec
1.92,Mbits/sec
2.29,Mbits/sec
2.3,Mbits/sec
1.93,Mbits/sec
2.33,Mbits/sec
2.45,Mbits/sec
2.2,Mbits/sec
2.58,Mbits/sec
2.35,Mbits/sec
2.75,Mbits/sec
2.73,Mbits/sec
3.31,Mbits/sec
2.66,Mbits/sec
2.76,Mbits/sec
2.5,Mbits/sec
2.77,Mbits/sec
2.3,Mbits/sec
2.22,Mbits/sec
1.62,Mbits/sec
1.64,Mbits/sec
1.89,Mbits/sec
1.73,Mbits/sec
1.77,Mbits/sec
2.46,Mbits/sec
2.94,Mbits/sec
2.75,Mbits/sec
2.12,Mbits/sec
1.94,Mbits/sec
1.83,Mbits/sec
1.77,Mbits/sec
1.98,Mbits/sec
2.21,Mbits/sec
2.56,Mbits/sec
2.61,Mbits/sec
2.51,Mbits/sec
2.62,Mbits/sec
2.08,Mbits/sec
2.35,Mbits/sec
2.46,Mbits/sec
3.06,Mbits/sec
3.08,Mbits/sec
3.25,Mbits/sec
3.04,Mbits/sec
2.98,Mbits/sec
3.68,Mbits/sec
3.17,Mbits/sec
2.51,Mbits/sec
3.12,Mbits/sec
3.17,Mbits/sec
3.44,Mbits/sec
2.8,Mbits/sec
1.84,Mbits/sec
2.12,Mbits/sec
2.06,Mbits/sec
2.44,Mbits/sec
2.75,Mbits/sec
2.75,Mbits/sec
2.21,Mbits/sec
2.65,Mbits/sec
3.25,Mbits/sec
3.26,Mbits/sec
2.55,Mbits/sec
2.62,Mbits/sec
3.25,Mbits/sec
3.69,Mbits/sec
4.23,Mbits/sec
4.52,Mbits/sec
5.73,Mbits/sec
6.81,Mbits/sec
5.69,Mbits/sec
5.54,Mbits/sec
5.9,Mbits/sec
5.79,Mbits/sec
5.74,Mbits/sec
4.59,Mbits/sec
5.04,Mbits/sec
5,Mbits/sec
4.4,Mbits/sec
3.53,Mbits/sec
2.09,Mbits/sec
2.04,Mbits/sec
1.58,Mbits/sec
1.87,Mbits/sec
2.35,Mbits/sec
2.35,Mbits/sec
2.51,Mbits/sec
2.24,Mbits/sec
2.3,Mbits/sec
2.36,Mbits/sec
2.19,Mbits/sec
1.79,Mbits/sec
1.79,Mbits/sec
1.5,Mbits/sec
1.92,Mbits/sec
2.08,Mbits/sec
2.22,Mbits/sec
2.45,Mbits/sec
1.79,Mbits/sec
1.46,Mbits/sec
1.6,Mbits/sec
